CONCEPT 	 Soundex 	 Metaphone
chronic_anemia 	 C652_A550 	 XRNK_ANM
chronic_anxiety 	 C652_A523 	 XRNK_ANKST
chronic_asthma 	 C652_A235 	 XRNK_AS0M
chronic_autoimmune 	 C652_A355 	 XRNK_ATMN
chronic_bronchitis 	 C652_B652 	 XRNK_BRNXTS
chronic_constipation 	 C652_C523 	 XRNK_KNSTPXN
chronic_cough 	 C652_C200 	 XRNK_K
chronic_depression 	 C652_D162 	 XRNK_TPRXN
chronic_diarrhea 	 C652_D600 	 XRNK_TRH
chronic_diarrhoea 	 C652_D600 	 XRNK_TRH
chronic_disease 	 C652_D220 	 XRNK_TSS
chronic_disease_management 	 C652_D220_M525 	 XRNK_TSS_MNJMNT
chronic_fatigue 	 C652_F320 	 XRNK_FTK
chronic_fatigue_syndrome 	 C652_F320_S536 	 XRNK_FTK_SNTRM
chronic_gastritis 	 C652_G236 	 XRNK_KSTRTS
chronic_granulomatous_disease 	 C652_G654_D220 	 XRNK_KRNLMTS_TSS
chronic_heart_failure 	 C652_H630_F460 	 XRNK_HRT_FLR
chronic_heartburn 	 C652_H631 	 XRNK_HRTBRN
chronic_hypertension 	 C652_H163 	 XRNK_HPRTNXN
chronic_idiopathic 	 C652_I313 	 XRNK_ITP0K
chronic_idiopathic_urticaria 	 C652_I313_U632 	 XRNK_ITP0K_URTKR
chronic_inability 	 C652_I514 	 XRNK_INBLT
chronic_indecision 	 C652_I532 	 XRNK_INTSXN
chronic_indigestion 	 C652_I532 	 XRNK_INTJSXN
chronic_instability 	 C652_I523 	 XRNK_INSTBLT
chronic_kidney 	 C652_K350 	 XRNK_KTN
chronic_kidney_disease 	 C652_K350_D220 	 XRNK_KTN_TSS
chronic_kidney_failure 	 C652_K350_F460 	 XRNK_KTN_FLR
chronic_lung_disease 	 C652_L520_D220 	 XRNK_LNK_TSS
chronic_lung_disease_cld 	 C652_L520_D220_C430 	 XRNK_LNK_TSS_KLT
chronic_lymphedema 	 C652_L513 	 XRNK_LMFTM
chronic_lymphocytic_leukemia 	 C652_L512_L250 	 XRNK_LMFSTK_LKM
chronic_malaria 	 C652_M460 	 XRNK_MLR
chronic_malnutrition 	 C652_M453 	 XRNK_MLNTRXN
chronic_migraine 	 C652_M265 	 XRNK_MKRN
chronic_myelogenous_leukemia 	 C652_M425_L250 	 XRNK_MYLJNS_LKM
chronic_otitis_media 	 C652_O332_M300 	 XRNK_OTTS_MT
chronic_paronychia 	 C652_P652 	 XRNK_PRNX
chronic_pelvic_pain 	 C652_P412_P500 	 XRNK_PLFK_PN
chronic_poverty 	 C652_P163 	 XRNK_PFRT
chronic_progressive 	 C652_P626 	 XRNK_PRKRSF
chronic_pulmonary 	 C652_P455 	 XRNK_PLMNR
chronic_renal_disease 	 C652_R540_D220 	 XRNK_RNL_TSS
chronic_renal_failure 	 C652_R540_F460 	 XRNK_RNL_FLR
chronic_respiratory_disease 	 C652_R216_D220 	 XRNK_RSPRTR_TSS
chronic_rheumatism 	 C652_R532 	 XRNK_RHMTSM
chronic_shortage 	 C652_S632 	 XRNK_XRTJ
chronic_undernutrition 	 C652_U536 	 XRNK_UNTRNTRXN
chronic_unemployment 	 C652_U551 	 XRNK_UNMPLMNT
chronic_urticaria 	 C652_U632 	 XRNK_URTKR
chronic_venous_insufficiency 	 C652_V520_I521 	 XRNK_FNS_INSFSNS
chronically_homeless_people 	 C652_H542_P140 	 XRNKL_HMLS_PPL
chronically_ill 	 C652_I400 	 XRNKL_IL
chronically_ill_elderly 	 C652_I400_E436 	 XRNKL_IL_ELTRL
chronically_late 	 C652_L300 	 XRNKL_LT
chronically_sick 	 C652_S200 	 XRNKL_SK
chronicity 	 C652 	 XRNST
chronicle 	 C652 	 XRNKL
chronicon 	 C652 	 XRNKN
chronicon_scotorum 	 C652_S365 	 XRNKN_SKTRM
chronoamperometry 	 C655 	 XRNMPRMTR
chronograph 	 C652 	 XRNKRF
chronological 	 C654 	 XRNLJKL
chronological_age 	 C654_A200 	 XRNLJKL_AJ
chronological_list 	 C654_L230 	 XRNLJKL_LST
chronologically 	 C654 	 XRNLJKL
chronology 	 C654 	 XRNLJ
chronometer 	 C655 	 XRNMTR
chrysalis 	 C624 	 XRSLS
chrysaora 	 C626 	 XRSR
chrysler_corporation 	 C624_C616 	 XRSLR_KRPRXN
chrysler_dealership 	 C624_D462 	 XRSLR_TLRXP
chrysler_dodge 	 C624_D320 	 XRSLR_TJ
chrysler_jeep 	 C624_J100 	 XRSLR_JP
chrysler_new_yorker 	 C624_N000_Y626 	 XRSLR_NW_YRKR
chrysler_plymouth 	 C624_P453 	 XRSLR_PLM0
chrysochroa 	 C622 	 XRSXR
chrysogaster 	 C622 	 XRSKSTR
chrysolite 	 C624 	 XRSLT
chrysomyxa 	 C625 	 XRSMKS
chrysoprase 	 C621 	 XRSPRS
chteau 	 C300 	 XT
chteau_frontenac 	 C300_F653 	 XT_FRNTNK
chteau_lafite 	 C300_L130 	 XT_LFT
chthon 	 C350 	 X0N
chu_chin_chow 	 C000_C500_C000 	 X_XN_XW
chub 	 C100 	 XB
chubby 	 C100 	 XB
chuck_out 	 C200_O300 	 XK_OT
chuck_rainey 	 C200_R500 	 XK_RN
chuck_wagon 	 C200_W250 	 XK_WKN
chuckle 	 C240 	 XKL
chuckwagon 	 C225 	 XKWKN
chug 	 C200 	 XK
chukar 	 C260 	 XKR
chuli 	 C400 	 XL
chumail 	 C540 	 XML
chummy 	 C500 	 XM
chump 	 C510 	 XMP
chump_change 	 C510_C520 	 XMP_XNJ
chung_ling_soo 	 C520_L520_S000 	 XNK_LNK_S
chunk 	 C520 	 XNK
chunkier 	 C526 	 XNKR
chunking 	 C525 	 XNKNK
chunky_gold 	 C520_G430 	 XNK_KLT
chup 	 C100 	 XP
chuppah 	 C100 	 XP
church 	 C620 	 XRX
church-goers 	 C622 	 XRXKRS
church-going 	 C622 	 XRXKNK
church_build 	 C620_B430 	 XRX_BLT
church_head 	 C620_H300 	 XRX_HT
church_hierarchy 	 C620_H662 	 XRX_HRRX
church_leader 	 C620_L360 	 XRX_LTR
church_official 	 C620_O124 	 XRX_OFXL
church_part 	 C620_P630 	 XRX_PRT
church_person 	 C620_P625 	 XRX_PRSN
church_service 	 C620_S612 	 XRX_SRFS
churchgoer 	 C622 	 XRXKR
churchgoing 	 C622 	 XRXKNK
churchill_tank 	 C624_T520 	 XRXL_TNK
churchkey 	 C622 	 XRXK
churchman 	 C625 	 XRXMN
churchmanship 	 C625 	 XRXMNXP
churchyard 	 C626 	 XRXYRT
churg_strauss_syndrome 	 C620_S362_S536 	 XRK_STRS_SNTRM
churl 	 C640 	 XRL
churn 	 C650 	 XRN
churn_out 	 C650_O300 	 XRN_OT
churn_up 	 C650_U100 	 XRN_UP
churned_up 	 C653_U100 	 XRNT_UP
churning 	 C655 	 XRNNK
churr 	 C600 	 XR
chuse 	 C200 	 XS
chute 	 C300 	 XT
chutney 	 C350 	 XTN
chutzpah 	 C321 	 XTSP
chuy 	 C000 	 X
cia_general_counsel 	 C000_G564_C524 	 X_JNRL_KNSL
cia_inspector_general 	 C000_I521_G564 	 X_INSPKTR_JNRL
cia_interrogator 	 C000_I536 	 X_INTRKTR
ciabatta 	 C130 	 XBT
ciasna 	 C250 	 XSN
cibernetico 	 C165 	 SBRNTK
cibona 	 C150 	 SBN
cicada_killer_wasp 	 C230_K460_W210 	 SKT_KLR_WSP
cicatricial 	 C236 	 SKTRXL
ciceronian 	 C265 	 SSRNN
ciconiidae 	 C253 	 SKNT
cider 	 C360 	 STR
cider_apple 	 C360_A140 	 STR_APL
cider_brandy 	 C360_B653 	 STR_BRNT
cider_maker 	 C360_M260 	 STR_MKR
cider_mill 	 C360_M400 	 STR_ML
cidp 	 C310 	 STP
cigar 	 C260 	 SKR
cigar_band 	 C260_B530 	 SKR_BNT
cigar_bar 	 C260_B600 	 SKR_BR
cigar_box 	 C260_B200 	 SKR_BKS
cigar_mile 	 C260_M400 	 SKR_ML
cigar_shop 	 C260_S100 	 SKR_XP
cigar_smoke 	 C260_S520 	 SKR_SMK
cigar_store 	 C260_S360 	 SKR_STR
cigarette 	 C263 	 SKRT
cigarette_butt 	 C263_B300 	 SKRT_BT
cigarette_consumption 	 C263_C525 	 SKRT_KNSMPXN
cigarette_dangling_from 	 C263_D524_F650 	 SKRT_TNKLNK_FRM
cigarette_lighter 	 C263_L236 	 SKRT_LTR
cigarette_maker 	 C263_M260 	 SKRT_MKR
cigarette_manufacturer 	 C263_M512 	 SKRT_MNFKTRR
cigarette_smoke 	 C263_S520 	 SKRT_SMK
cigarette_tobacco 	 C263_T120 	 SKRT_TBKK
cigarillo 	 C264 	 SKRL
cigna_custom 	 C250_C235 	 SN_KSTM
cilantro 	 C453 	 SLNTR
ciliary_action 	 C460_A235 	 SLR_KXN
ciliary_ganglion 	 C460_G524 	 SLR_KNKLN
ciliate 	 C430 	 SLT
ciliolate 	 C443 	 SLLT
ciliolate_membrane_mm 	 C443_M516_M000 	 SLLT_MMBRN_M
ciliopathy 	 C413 	 SLP0
cinacalcet 	 C524 	 SNKLST
cinch 	 C520 	 SNX
cincinnati 	 C525 	 SNSNT
cincinnati_symphony 	 C525_S515 	 SNSNT_SMFN
cincture 	 C523 	 SNKTR
cinder 	 C536 	 SNTR
cinder_block 	 C536_B420 	 SNTR_BLK
cinder_cone 	 C536_C500 	 SNTR_KN
cinderblock 	 C536 	 SNTRBLK
cinderella 	 C536 	 SNTRL
cinderella_story 	 C536_S360 	 SNTRL_STR
cinema 	 C550 	 SNM
cinema_multiplex 	 C550_M431 	 SNM_MLTPLKS
cinema_verit 	 C550_V630 	 SNM_FRT
cinema_verite 	 C550_V630 	 SNM_FRT
cinema_verite_style 	 C550_V630_S340 	 SNM_FRT_STL
cinema_vrit 	 C550_V630 	 SNM_FRT
cinemark 	 C556 	 SNMRK
cinematic 	 C553 	 SNMTK
cinematic_style 	 C553_S340 	 SNMTK_STL
cinematic_technique 	 C553_T252 	 SNMTK_TXNK
cinematically 	 C553 	 SNMTKL
cineplex 	 C514 	 SNPLKS
cinerary_urn 	 C566_U650 	 SNRR_URN
cinma_vrit 	 C500_V630 	 SNM_FRT
cinma_vrit_style 	 C500_V630_S340 	 SNM_FRT_STL
cinnabon 	 C515 	 SNBN
cinnamaldehyde 	 C554 	 SNMLTT
cinnamomi 	 C555 	 SNMM
cinnamomum_camphora 	 C555_C516 	 SNMMM_KMFR
cinnamon 	 C555 	 SNMN
cinnamon_fern 	 C555_F650 	 SNMN_FRN
cinnamon_roll 	 C555_R400 	 SNMN_RL
cinnamon_stick 	 C555_S320 	 SNMN_STK
cinnarizine 	 C562 	 SNRSN
cinquefoil 	 C521 	 SNKFL
cipher 	 C160 	 SFR
cipher_machine 	 C160_M250 	 SFR_MXN
cipher_text 	 C160_T230 	 SFR_TKST
ciphertext 	 C163 	 SFRTKST
ciphertext_block 	 C163_B420 	 SFRTKST_BLK
ciprofloxacin_cipro 	 C161_C160 	 SPRFLKSSN_SPR
circadian 	 C623 	 SRKTN
circadian_activity 	 C623_A231 	 SRKTN_KTFT
circadian_oscillation 	 C623_O243 	 SRKTN_OSSLXN
circinata 	 C625 	 SRSNT
circle 	 C624 	 SRKL
circle_jerk 	 C624_J620 	 SRKL_JRK
circle_part 	 C624_P630 	 SRKL_PRT
circle_prey 	 C624_P600 	 SRKL_PR
circle_shape 	 C624_S100 	 SRKL_XP
circlet 	 C624 	 SRKLT
circuit 	 C623 	 SRKT
circuit_breaker 	 C623_B626 	 SRKT_BRKR
circuit_court_judge 	 C623_C630_J320 	 SRKT_KRT_JJ
circuit_voltage 	 C623_V432 	 SRKT_FLTJ
circuitry 	 C623 	 SRKTR
circular 	 C624 	 SRKLR
circular_aperture 	 C624_A163 	 SRKLR_APRTR
circular_arc 	 C624_A620 	 SRKLR_ARK
circular_buffer 	 C624_B160 	 SRKLR_BFR
circular_cylinder 	 C624_C453 	 SRKLR_SLNTR
circular_driveway 	 C624_D610 	 SRKLR_TRFW
circular_hole 	 C624_H400 	 SRKLR_HL
circular_logic 	 C624_L220 	 SRKLR_LJK
circular_motion 	 C624_M350 	 SRKLR_MXN
circular_orbit 	 C624_O613 	 SRKLR_ORBT
circular_path 	 C624_P300 	 SRKLR_P0
circular_pattern 	 C624_P365 	 SRKLR_PTRN
circular_route 	 C624_R300 	 SRKLR_RT
circular_shape 	 C624_S100 	 SRKLR_XP
circular_staircase 	 C624_S362 	 SRKLR_STRKS
circular_symmetry 	 C624_S536 	 SRKLR_SMTR
circular_tower 	 C624_T600 	 SRKLR_TWR
circularity 	 C624 	 SRKLRT
circularize 	 C624 	 SRKLRS
circularly 	 C624 	 SRKLRL
circularly_polarized_light 	 C624_P462_L230 	 SRKLRL_PLRST_LT
circulate 	 C624 	 SRKLT
circulate_air 	 C624_A600 	 SRKLT_AR
circulate_blood 	 C624_B430 	 SRKLT_BLT
circulating_blood 	 C624_B430 	 SRKLTNK_BLT
circulating_coin 	 C624_C500 	 SRKLTNK_KN
circulating_collection 	 C624_C423 	 SRKLTNK_KLKXN
circulating_medium 	 C624_M350 	 SRKLTNK_MTM
circulation 	 C624 	 SRKLXN
circulation_center_llcc 	 C624_C536_L200 	 SRKLXN_SNTR_LKK
circulatory_collapse 	 C624_C412 	 SRKLTR_KLPS
circulatory_system 	 C624_S235 	 SRKLTR_SSTM
circumambulation 	 C625 	 SRKMMBLXN
circumcenter 	 C625 	 SRKMSNTR
circumcircle 	 C625 	 SRKMSRKL
circumference 	 C625 	 SRKMFRNS
circumferentially 	 C625 	 SRKMFRNXL
circumlocution 	 C625 	 SRKMLKXN
circumscribe 	 C625 	 SRKMSKRB
circumspect 	 C625 	 SRKMSPKT
circumspection 	 C625 	 SRKMSPKXN
circumstance 	 C625 	 SRKMSTNS
circumstance_warrant 	 C625_W653 	 SRKMSTNS_WRNT
circumstantial 	 C625 	 SRKMSTNXL
circumstantial_evidence 	 C625_E135 	 SRKMSTNXL_EFTNS
circumstellar_disc 	 C625_D200 	 SRKMSTLR_TSK
circumstellar_disk 	 C625_D200 	 SRKMSTLR_TSK
circumvent 	 C625 	 SRKMFNT
circumvent_copyright 	 C625_C162 	 SRKMFNT_KPRT
circumvention 	 C625 	 SRKMFNXN
circumvesuviana 	 C625 	 SRKMFSFN
circumvolve 	 C625 	 SRKMFLF
circus 	 C622 	 SRKS
circus_acrobat 	 C622_A261 	 SRKS_KRBT
circus_act 	 C622_A230 	 SRKS_KT
circus_circus_hotel 	 C622_C622_H340 	 SRKS_SRKS_HTL
circus_clown 	 C622_C450 	 SRKS_KLN
circus_parade 	 C622_P630 	 SRKS_PRT
circus_performer 	 C622_P616 	 SRKS_PRFRMR
circus_ring 	 C622_R520 	 SRKS_RNK
circus_sideshow 	 C622_S320 	 SRKS_STXW
circus_strongman 	 C622_S365 	 SRKS_STRNKMN
circus_tent 	 C622_T530 	 SRKS_TNT
circus_troupe 	 C622_T610 	 SRKS_TRP
cirque_dream_jungle 	 C620_D650_J524 	 SRK_TRM_JNKL
cirrhimuraena 	 C656 	 SRHMRN
cirrhosa 	 C620 	 SRHS
cirrus_cloud 	 C620_C430 	 SRS_KLT
cirsium_arvense 	 C625_A615 	 SRSM_ARFNS
cirsium_vulgare 	 C625_V426 	 SRSM_FLKR
cisapride_propulsid 	 C216_P614 	 SSPRT_PRPLST
cisco_unified_callmanager 	 C200_U513_C455 	 SSK_UNFT_KLMNJR
cissy 	 C200 	 SS
cista 	 C230 	 SST
citation 	 C335 	 STXN
citationality 	 C335 	 STXNLT
cite 	 C300 	 ST
citizen 	 C325 	 STSN
citizen_arrest 	 C325_A623 	 STSN_ARST
citizen_committee 	 C325_C530 	 STSN_KMT
citizen_participation 	 C325_P632 	 STSN_PRTSPXN
citizenry 	 C325 	 STSNR
citizenship 	 C325 	 STSNXP
citric 	 C362 	 STRK
citrobacter 	 C361 	 STRBKTR
citronella 	 C365 	 STRNL
citrophthora 	 C361 	 STRF0R
citrucel 	 C362 	 STRSL
citrus 	 C362 	 STRS
citrus_aroma 	 C362_A650 	 STRS_ARM
citrus_fruit 	 C362_F630 	 STRS_FRT
citrus_juice 	 C362_J200 	 STRS_JS
citrus_leafminer 	 C362_L155 	 STRS_LFMNR
citrus_maximum 	 C362_M255 	 STRS_MKSMM
citrus_scent 	 C362_S530 	 STRS_SSNT
cittern 	 C365 	 STRN
citty 	 C300 	 ST
city 	 C300 	 ST
city-dwelling 	 C334 	 STTWLNK
city-state 	 C323 	 STSTT
city_block 	 C300_B420 	 ST_BLK
city_center 	 C300_C536 	 ST_SNTR
city_country 	 C300_C536 	 ST_KNTR
city_dweller 	 C300_D460 	 ST_TWLR
city_hall 	 C300_H400 	 ST_HL
city_life 	 C300_L100 	 ST_LF
city_main_thoroughfare 	 C300_M500_T621 	 ST_MN_0RFR
city_park 	 C300_P620 	 ST_PRK
city_road 	 C300_R300 	 ST_RT
city_skyline 	 C300_S450 	 ST_SKLN
city_slicker 	 C300_S426 	 ST_SLKR
city_street 	 C300_S363 	 ST_STRT
cityjet 	 C323 	 STJT
cityscape 	 C321 	 STSKP
civet_cat 	 C130_C300 	 SFT_KT
civic 	 C120 	 SFK
civic_activist 	 C120_A231 	 SFK_KTFST
civic_arena 	 C120_A650 	 SFK_ARN
civic_auditorium 	 C120_A336 	 SFK_ATTRM
civic_ballet 	 C120_B430 	 SFK_BLT
civic_center 	 C120_C536 	 SFK_SNTR
civic_centre 	 C120_C536 	 SFK_SNTR
civic_duty 	 C120_D300 	 SFK_TT
civic_symphony 	 C120_S515 	 SFK_SMFN
civil 	 C140 	 SFL
civil_action 	 C140_A235 	 SFL_KXN
civil_ceremony 	 C140_C655 	 SFL_SRMN
civil_conflict 	 C140_C514 	 SFL_KNFLKT
civil_discord 	 C140_D263 	 SFL_TSKRT
civil_disobedience 	 C140_D213 	 SFL_TSBTNS
civil_disobedience_movement 	 C140_D213_M155 	 SFL_TSBTNS_MFMNT
civil_engineer 	 C140_E525 	 SFL_ENJNR
civil_engineering_contractor 	 C140_E525_C536 	 SFL_ENJNRNK_KNTRKTR
civil_ensign 	 C140_E522 	 SFL_ENSN
civil_forfeiture 	 C140_F613 	 SFL_FRFTR
civil_infraction 	 C140_I516 	 SFL_INFRKXN
civil_lawsuit 	 C140_L230 	 SFL_LST
civil_lawsuit_against 	 C140_L230_A252 	 SFL_LST_AKNST
civil_liability 	 C140_L143 	 SFL_LBLT
civil_libertarian 	 C140_L163 	 SFL_LBRTRN
civil_liberty 	 C140_L163 	 SFL_LBRT
civil_magistrate 	 C140_M223 	 SFL_MJSTRT
civil_marriage 	 C140_M620 	 SFL_MRJ
civil_penalty 	 C140_P543 	 SFL_PNLT
civil_registry 	 C140_R223 	 SFL_RJSTR
civil_right_lawsuit 	 C140_R230_L230 	 SFL_RT_LST
civil_right_lawsuit_against 	 C140_R230_L230_A252 	 SFL_RT_LST_AKNST
civil_servant 	 C140_S615 	 SFL_SRFNT
civil_society 	 C140_S230 	 SFL_SST
civil_society_participation 	 C140_S230_P632 	 SFL_SST_PRTSPXN
civil_strife 	 C140_S361 	 SFL_STRF
civil_suit 	 C140_S300 	 SFL_ST
civil_unrest 	 C140_U562 	 SFL_UNRST
civil_war 	 C140_W600 	 SFL_WR
civilian 	 C145 	 SFLN
civilian_nuclear 	 C145_N246 	 SFLN_NKLR
civilian_nuclear_power 	 C145_N246_P600 	 SFLN_NKLR_PWR
civilian_personnel 	 C145_P625 	 SFLN_PRSNL
civilian_population 	 C145_P143 	 SFLN_PPLXN
civilisation 	 C142 	 SFLSXN
civility 	 C143 	 SFLT
civilization 	 C142 	 SFLSXN
civilizational 	 C142 	 SFLSXNL
civilize 	 C142 	 SFLS
civilized_man 	 C142_M500 	 SFLST_MN
civilized_manner 	 C142_M560 	 SFLST_MNR
civilized_world 	 C142_W643 	 SFLST_WRLT
civilizing_mission 	 C142_M250 	 SFLSNK_MXN
civill_power 	 C140_P600 	 SFL_PWR
civilly 	 C140 	 SFL
clad 	 C430 	 KLT
cladding 	 C435 	 KLTNK
clade 	 C430 	 KLT
clade_cephalaspidea 	 C430_C142 	 KLT_SFLSPT
cladocera 	 C432 	 KLTSR
claim 	 C450 	 KLM
claimant 	 C455 	 KLMNT
claimed_descent 	 C453_D253 	 KLMT_TSSNT
claiming_descent 	 C455_D253 	 KLMNK_TSSNT
claiming_job_seeker 	 C455_J100_S260 	 KLMNK_JB_SKR
clairaudience 	 C463 	 KLRTNS
clairton 	 C463 	 KLRTN
clairvoyance 	 C461 	 KLRFYNS
clairvoyant 	 C461 	 KLRFYNT
claisen_rearrangement 	 C425_R652 	 KLSN_RRNJMNT
clam 	 C450 	 KLM
clam_chowder 	 C450_C360 	 KLM_XTR
clam_shack 	 C450_S200 	 KLM_XK
clamant 	 C455 	 KLMNT
clamber 	 C451 	 KLMBR
clamber_over 	 C451_O160 	 KLMBR_OFR
clamber_up 	 C451_U100 	 KLMBR_UP
clambering_over 	 C451_O160 	 KLMBRNK_OFR
clammy 	 C450 	 KLM
clamor 	 C456 	 KLMR
clamorous 	 C456 	 KLMRS
clamorously 	 C456 	 KLMRSL
clamp 	 C451 	 KLMP
clamp_binder 	 C451_B536 	 KLMP_BNTR
clamp_down 	 C451_D500 	 KLMP_TN
clamp_down_on 	 C451_D500_O500 	 KLMP_TN_ON
clampdown 	 C451 	 KLMPTN
clamped_down 	 C451_D500 	 KLMPT_TN
clamped_shut 	 C451_S300 	 KLMPT_XT
clamped_tight 	 C451_T230 	 KLMPT_TT
clamping_down 	 C451_D500 	 KLMPNK_TN
clamping_down_on 	 C451_D500_O500 	 KLMPNK_TN_ON
clamshell_design 	 C452_D225 	 KLMXL_TSN
clan 	 C450 	 KLN
clan_akkaba 	 C450_A210 	 KLN_AKB
clandestine 	 C453 	 KLNTSTN
clandestine_manner 	 C453_M560 	 KLNTSTN_MNR
clandestine_marriage 	 C453_M620 	 KLNTSTN_MRJ
clang 	 C452 	 KLNK
clanger 	 C452 	 KLNJR
clangor 	 C452 	 KLNKR
clannishness 	 C452 	 KLNXNS
clap 	 C410 	 KLP
clap_trap 	 C410_T610 	 KLP_TRP
clapperboard 	 C416 	 KLPRBRT
clapping 	 C415 	 KLPNK
claptrap 	 C413 	 KLPTRP
claret 	 C463 	 KLRT
claria 	 C460 	 KLR
claria_corporation 	 C460_C616 	 KLR_KRPRXN
clarification 	 C461 	 KLRFKXN
clarify 	 C461 	 KLRF
clarinet 	 C465 	 KLRNT
clarion_ledger 	 C465_L326 	 KLRN_LJR
clarity 	 C463 	 KLRT
clark_hoyt 	 C462_H300 	 KLRK_HT
clash 	 C420 	 KLX
clash_between 	 C420_B350 	 KLX_BTWN
clash_together 	 C420_T236 	 KLX_TJ0R
clasp 	 C421 	 KLSP
clasp_knife 	 C421_K510 	 KLSP_NF
class 	 C420 	 KLS
class_act 	 C420_A230 	 KLS_KT
class_action 	 C420_A235 	 KLS_KXN
class_battleship 	 C420_B342 	 KLS_BTLXP
class_brig_sloop 	 C420_B620_S410 	 KLS_BRK_SLP
class_clown 	 C420_C450 	 KLS_KLN
class_feeling 	 C420_F452 	 KLS_FLNK
class_lesson 	 C420_L250 	 KLS_LSN
class_lifeboat 	 C420_L113 	 KLS_LFBT
class_misdemeanor 	 C420_M235 	 KLS_MSTMNR
class_steam_locomotive 	 C420_S350_L253 	 KLS_STM_LKMTF
classes 	 C422 	 KLSS
classfile 	 C421 	 KLSFL
classic 	 C422 	 KLSK
classic_fairy_tale 	 C422_F600_T400 	 KLSK_FR_TL
classic_horror_film 	 C422_H660_F450 	 KLSK_HRR_FLM
classic_lineup 	 C422_L510 	 KLSK_LNP
classic_rock_magazine 	 C422_R200_M225 	 KLSK_RK_MKSN
classic_tale 	 C422_T400 	 KLSK_TL
classical 	 C422 	 KLSKL
classical_antiquity 	 C422_A532 	 KLSKL_ANTKT
classical_ballet 	 C422_B430 	 KLSKL_BLT
classical_canon 	 C422_C550 	 KLSKL_KNN
classical_composer 	 C422_C512 	 KLSKL_KMPSR
classical_electromagnetism 	 C422_E423 	 KLSKL_ELKTRMNTSM
classical_liberal 	 C422_L164 	 KLSKL_LBRL
classical_liberalism 	 C422_L164 	 KLSKL_LBRLSM
classical_literature 	 C422_L363 	 KLSKL_LTRTR
classical_music 	 C422_M220 	 KLSKL_MSK
classical_music_composer 	 C422_M220_C512 	 KLSKL_MSK_KMPSR
classical_music_critic 	 C422_M220_C632 	 KLSKL_MSK_KRTK
classical_music_record_label 	 C422_M220_R263_L140 	 KLSKL_MSK_RKRT_LBL
classical_musician 	 C422_M225 	 KLSKL_MSXN
classical_pianist 	 C422_P523 	 KLSKL_PNST
classical_piano 	 C422_P500 	 KLSKL_PN
classical_revival 	 C422_R114 	 KLSKL_RFFL
classical_revival_architecture 	 C422_R114_A623 	 KLSKL_RFFL_ARXTKTR
classical_saxophone 	 C422_S215 	 KLSKL_SKSFN
classical_style 	 C422_S340 	 KLSKL_STL
classical_tradition 	 C422_T633 	 KLSKL_TRTXN
classical_violin 	 C422_V450 	 KLSKL_FLN
classically 	 C422 	 KLSKL
classically_trained_actor 	 C422_T653_A236 	 KLSKL_TRNT_KTR
classically_trained_musician 	 C422_T653_M225 	 KLSKL_TRNT_MSXN
classically_trained_pianist 	 C422_T653_P523 	 KLSKL_TRNT_PNST
classicism 	 C422 	 KLSSSM
classier 	 C426 	 KLSR
classifiable 	 C421 	 KLSFBL
classification 	 C421 	 KLSFKXN
classification_scheme 	 C421_S500 	 KLSFKXN_SXM
classified_ad 	 C421_A300 	 KLSFT_AT
classified_advertisement 	 C421_A316 	 KLSFT_ATFRTSMNT
classify 	 C421 	 KLSF
classify_ad 	 C421_A300 	 KLSF_AT
classmate 	 C425 	 KLSMT
classroom 	 C426 	 KLSRM
classroom_bulletin_board 	 C426_B435_B630 	 KLSRM_BLTN_BRT
classroom_chair 	 C426_C600 	 KLSRM_XR
classroom_instruction 	 C426_I523 	 KLSRM_INSTRKXN
classroom_teacher 	 C426_T260 	 KLSRM_TXR
classwork 	 C426 	 KLSWRK
classy 	 C420 	 KLS
classy_restaurant 	 C420_R236 	 KLS_RSTRNT
clastogenic 	 C423 	 KLSTJNK
clatter 	 C436 	 KLTR
clattering 	 C436 	 KLTRNK
claudication 	 C432 	 KLTKXN
claudio_baglioni 	 C430_B245 	 KLT_BKLN
claudio_castagnoli 	 C430_C232 	 KLT_KSTNL
claudio_fragasso 	 C430_F622 	 KLT_FRKS
claudio_guidetti 	 C430_G330 	 KLT_KTT
clausal 	 C424 	 KLSL
clause 	 C420 	 KLS
claustrophobe 	 C423 	 KLSTRFB
claustrophobia 	 C423 	 KLSTRFB
claustrophobic 	 C423 	 KLSTRFBK
claustrophobic_atmosphere 	 C423_A352 	 KLSTRFBK_ATMSFR
claver 	 C416 	 KLFR
clavichord 	 C412 	 KLFXRT
clavicular 	 C412 	 KLFKLR
claw 	 C400 	 KLW
claw_back 	 C400_B200 	 KLW_BK
claw_foot_tub 	 C400_F300_T100 	 KLW_FT_TB
claw_hammer 	 C400_H560 	 KLW_HMR
clawhammer_banjo 	 C456_B520 	 KLHMR_BNJ
claws 	 C420 	 KLS
clay_animation 	 C400_A553 	 KL_ANMXN
clay_brick 	 C400_B620 	 KL_BRK
clay_extraction 	 C400_E236 	 KL_EKSTRKXN
clay_jar 	 C400_J600 	 KL_JR
clay_pit 	 C400_P300 	 KL_PT
clay_pot 	 C400_P300 	 KL_PT
clay_pottery 	 C400_P360 	 KL_PTR
clay_quarry 	 C400_Q600 	 KL_KR
clay_tablet 	 C400_T143 	 KL_TBLT
clayey 	 C400 	 KLY
clayface 	 C412 	 KLFS
claymation 	 C453 	 KLMXN
claymore 	 C456 	 KLMR
